IDIV - Carteira do Dia 02/02/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;130.777.854;0,599;
BRSR6;BANRISUL;PNB     N1;385.955.943;1,173;
BBSE3;BBSEGURIDADE;ON      NM;559.039.972;3,648;
BBDC3;BRADESCO;ON  EJ  N1;738.772.585;3,922;
BBDC4;BRADESCO;PN  EJ  N1;625.552.771;4,042;
BRAP4;BRADESPAR;PN      N1;479.100.480;3,766;
BBAS3;BRASIL;ON      NM;355.849.250;3,280;
AGRO3;BRASILAGRO;ON      NM;98.656.763;0,811;
CCRO3;CCR SA;ON      NM;755.579.870;2,746;
CMIG3;CEMIG;ON      N1;528.840.117;2,785;
CMIG4;CEMIG;PN      N1;862.995.685;3,234;
CESP6;CESP;PNB     N1;346.856.185;2,258;
CSMG3;COPASA;ON      NM;359.103.344;1,331;
CPLE3;COPEL;ON      N2;609.367.595;1,104;
CPLE6;COPEL;PNB     N2;1.462.018.075;2,971;
CPFE3;CPFL ENERGIA;ON      NM;357.746.504;2,935;
CYRE3;CYRELA REALT;ON      NM;536.639.720;2,613;
DIRR3;DIRECIONAL;ON      NM;143.653.208;0,556;
ELET3;ELETROBRAS;ON      N1;288.334.163;2,821;
ELET6;ELETROBRAS;PNB     N1;315.689.866;3,020;
ENAT3;ENAUTA PART;ON      NM;146.036.917;0,630;
ENBR3;ENERGIAS BR;ON      NM;440.067.043;2,649;
EGIE3;ENGIE BRASIL;ON      NM;226.605.041;2,614;
ROMI3;INDS ROMI;ON      NM;71.027.452;0,336;
MYPK3;IOCHP-MAXION;ON      NM;262.138.971;1,106;
ITSA4;ITAUSA;PN      N1;1.264.742.358;3,650;
ITUB3;ITAUUNIBANCO;ON  EJ  N1;508.671.871;3,209;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;416.333.875;2,999;
JHSF3;JHSF PART;ON      NM;582.957.402;1,031;
MRVE3;MRV;ON      NM;561.478.680;2,093;
PSSA3;PORTO SEGURO;ON      NM;346.563.705;1,954;
QUAL3;QUALICORP;ON      NM;527.907.785;2,698;
SAPR4;SANEPAR;PN      N2;387.151.575;0,438;
SANB11;SANTANDER BR;UNT;476.042.077;4,403;
CSNA3;SID NACIONAL;ON;383.165.012;2,906;
SYNE3;SYN PROP TEC;ON      NM;59.660.124;0,123;
TAEE11;TAESA;UNT     N2;416.507.562;4,427;
TGMA3;TEGMA;ON      NM;60.982.596;0,261;
VIVT3;TELEF BRASIL;ON;424.082.332;5,946;
TRPL4;TRAN PAULIST;PN      N1;615.235.869;4,168;
UNIP6;UNIPAR;PNB;85.477.842;2,394;
WIZS3;WIZ S.A.;ON      NM;147.763.007;0,350;
Quantidade Teórica Total;;;18.351.129.046;100,000
Redutor;;;51.793.705,06118846
